container_id,machine_id,time_stamp,app_du,status,cpu_request,cpu_limit,mem_size
c_125,m_1798,0,app_1588,started,800,800,3.13
c_126,m_3447,0,app_2617,started,800,800,3.13
c_127,m_3626,0,app_5542,started,400,400,1.56
c_128,m_202,0,app_9617,started,800,800,1.56
c_129,m_2368,0,app_1596,started,400,480,1.56
c_130,m_1348,374897,app_1127,started,400,400,1.56
c_131,m_3789,0,app_1178,started,400,400,1.56
c_133,m_230,0,app_5501,started,400,400,1.56
c_134,m_3124,0,app_3557,started,400,400,1.56
c_135,m_450,0,app_7113,started,800,800,1.56
c_136,m_2270,0,app_10,started,800,800,3.13
c_137,m_1322,0,app_5732,started,800,800,3.13
c_138,m_3319,0,app_7709,started,400,400,1.56
c_139,m_2338,0,app_3073,started,400,400,1.56
c_140,m_3333,221078,app_8798,started,400,400,1.56
c_141,m_2759,0,app_1614,started,800,800,3.13
c_142,m_1400,0,app_7908,started,400,400,1.56
c_143,m_734,0,app_6763,started,400,400,1.56
c_144,m_2058,0,app_961,started,400,400,1.56
c_145,m_2114,0,app_9176,started,400,400,1.56
c_146,m_1415,0,app_5757,started,400,400,1.56
c_148,m_2591,0,app_5159,started,400,400,1.56
c_149,m_1629,0,app_3590,started,400,400,1.95
c_150,m_429,0,app_4334,started,400,480,1.56
c_151,m_3390,0,app_2023,started,800,800,6.25
c_152,m_3032,0,app_5789,started,400,400,1.56
c_153,m_117,0,app_5372,started,400,400,1.56
c_154,m_2345,0,app_9419,started,400,400,1.56
c_155,m_343,0,app_5936,started,400,400,1.56
c_156,m_3560,0,app_5017,started,400,400,1.56
c_157,m_3687,0,app_7766,started,400,400,1.56
c_158,m_2235,0,app_7325,started,400,400,1.56
c_159,m_2358,0,app_2874,started,400,400,1.56
c_160,m_794,0,app_7761,started,400,400,1.56
c_161,m_1805,0,app_6593,started,400,400,1.56
c_162,m_557,0,app_1866,started,400,400,1.56
c_163,m_3028,0,app_2968,started,400,400,1.56
c_164,m_2769,212362,app_1230,started,800,800,3.13
c_165,m_1786,0,app_3499,stopped,1600,1600,6.25
c_166,m_3736,0,app_5066,started,400,400,1.56
c_167,m_93,0,app_2089,started,400,400,1.56
c_168,m_3786,0,app_1613,started,400,400,1.56
